Co-op,325000,1,1,2184,Queens County,Queens,Jackson Heights,"35-45 81st St e1, Jackson Heights, NY 11372, USA","Nest Seekers International, Long Island",35-45 81st St e1," Jackson Heights"," NY"," 11372"," USA",Queens
Multi-family home,2250000,12,2.37386083602905,5670,United States,New York,Kings County,"2361 81st St, Brooklyn, NY 11214, USA",Century 21 Realty First,2361 81st St," Brooklyn"," NY"," 11214"," USA",Brooklyn
Co-op,230000,1,1,2184,New York,Queens County,Queens,"33-24 Junction Blvd, Jackson Heights, NY 11372, USA",Du Chris Realty,33-24 Junction Blvd," Jackson Heights"," NY"," 11372"," USA",Queens
Multi-family home,1299888,10,6,3156,Richmond County,Staten Island,Clifton,"310 Hillside Ave #312, Staten Island, NY 10304, USA",Ashford Homes,310 Hillside Ave #312," Staten Island"," NY"," 10304"," USA",Staten Island
Multi-family home,925000,5,2,2750,New York,Bronx County,The Bronx,"543 Hollywood Ave, Bronx, NY 10465, USA",NoBroker,543 Hollywood Ave," Bronx"," NY"," 10465"," USA",Bronx
Condo,329000,1,2,794,New York,Richmond County,Staten Island,"47 Lynn Ct, Staten Island, NY 10314, USA",Get Listed Get Sold NYC,47 Lynn Ct," Staten Island"," NY"," 10314"," USA",Staten Island
Multi-family home,1300000,10,8,5040,Richmond County,Staten Island,Mariners Harbor,"366 Union Ave #4, Staten Island, NY 10303, USA",RJM Realty Empire Inc.,366 Union Ave #4," Staten Island"," NY"," 10303"," USA",Staten Island
Multi-family home,848000,5,4,2080,New York,Kings County,Brooklyn,"544 Hinsdale St, Brooklyn, NY 11207, USA",RE MAX Edge,544 Hinsdale St," Brooklyn"," NY"," 11207"," USA",Brooklyn
Co-op,279000,1,1,750,Kings County,Brooklyn,Midwood,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",H P Greenfield Real Estate Ltd,1801 Ocean Ave #4a," Brooklyn"," NY"," 11230"," USA",Brooklyn
Condo,528000,1,1,602,Kings County,Brooklyn,Dyker Heights,"1238 63rd St #432, Brooklyn, NY 11219, USA",Ashford Homes LLC,1238 63rd St #432," Brooklyn"," NY"," 11219"," USA",Brooklyn
Multi-family home,1299888,11,4,3156,Richmond County,Staten Island,Clifton,"310 Hillside Ave #312, Staten Island, NY 10304, USA",Ashford Homes,310 Hillside Ave #312," Staten Island"," NY"," 10304"," USA",Staten Island
Co-op,275000,1,1,2184,Queens County,Queens,Flushing,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",E Realty International Corp,44-55 Kissena Blvd #5f," Flushing"," NY"," 11355"," USA",Queens
Condo,1165000,1,1,815,Kings County,Brooklyn,Williamsburg,"338 Berry St #4e, Brooklyn, NY 11249, USA",Corcoran Park Slope,338 Berry St #4e," Brooklyn"," NY"," 11249"," USA",Brooklyn
Multi-family home,1199000,6,5,3290,New York,Richmond County,Staten Island,"10 Simon Ct, Staten Island, NY 10307, USA",Staten Island Homes Realty Corp,10 Simon Ct," Staten Island"," NY"," 10307"," USA",Staten Island
Multi-family home,700000,6,2,3053,New York,Bronx County,The Bronx,"229 W Tremont Ave, Bronx, NY 10453, USA",Exp Realty,229 W Tremont Ave," Bronx"," NY"," 10453"," USA",Bronx
Multi-family home,2150000,8,4,3200,New York,Kings County,Brooklyn,"2226 63rd St, Brooklyn, NY 11204, USA",Century 21 Realty First,2226 63rd St," Brooklyn"," NY"," 11204"," USA",Brooklyn
Multi-family home,1280000,7,5,2460,New York,Queens County,Queens,"86-05 91st Ave, Jamaica, NY 11421, USA",E Realty International Corp,86-05 91st Ave," Jamaica"," NY"," 11421"," USA",Queens
Co-op,199900,1,1,2184,Bronx County,The Bronx,Concourse,"828 Gerard Ave #5f, Bronx, NY 10451, USA",Brown Harris Stevens,828 Gerard Ave #5f," Bronx"," NY"," 10451"," USA",Bronx
Co-op,369000,2,1,2184,Queens County,Queens,Flushing,"43-40 Union St #3d, Flushing, NY 11355, USA",Winzone Realty Inc,43-40 Union St #3d," Flushing"," NY"," 11355"," USA",Queens
Multi-family home,699000,4,3,1591,New York,Queens County,Queens,"111-31 141st St, Jamaica, NY 11435, USA",Prestige Homes Ny Inc,111-31 141st St," Jamaica"," NY"," 11435"," USA",Queens
Co-op,4250000,3,2,2400,New York County,New York,Manhattan,"123 Prince St Apt 1f, New York, NY 10012, USA",Brown Harris Stevens,123 Prince St Apt 1f," New York"," NY"," 10012"," USA",Manhattan
Multi-family home,825000,2,2,2184,New York,Queens County,Queens,"32-39 Jordan St, Flushing, NY 11358, USA",Weichert Realtors TMT Group,32-39 Jordan St," Flushing"," NY"," 11358"," USA",Queens
Condo,329000,2,1,837,Richmond County,Staten Island,Mid Island,"55 Austin Pl APT 4L, Staten Island, NY 10304, USA",American Homes Group,55 Austin Pl APT 4L," Staten Island"," NY"," 10304"," USA",Staten Island
Multi-family home,889000,2,2,1520,New York,Richmond County,Staten Island,"17 S Greenleaf Ave, Staten Island, NY 10314, USA",Wonica REALTORS & Appraisers,17 S Greenleaf Ave," Staten Island"," NY"," 10314"," USA",Staten Island
Multi-family home,769000,2,2,2184,New York,Queens County,Queens,"101-55 112th St, South Richmond Hill, NY 11419, USA",First Class Homes Inc,101-55 112th St," South Richmond Hill"," NY"," 11419"," USA",Queens
Multi-family home,1200000,4,2,2536,New York,Kings County,Brooklyn,"66 Bay 22nd St, Brooklyn, NY 11214, USA",eXp Realty BKNY,66 Bay 22nd St," Brooklyn"," NY"," 11214"," USA",Brooklyn
Co-op,220500,2,1,900,Richmond County,Staten Island,Mid Island,"350 Richmond Terrace Apt 3n, Staten Island, NY 10301, USA",VYLLA HOME,350 Richmond Terrace Apt 3n," Staten Island"," NY"," 10301"," USA",Staten Island
Multi-family home,1999000,3,3,2739,New York,Kings County,Brooklyn,"259 80th St, Brooklyn, NY 11209, USA",RE MAX Edge,259 80th St," Brooklyn"," NY"," 11209"," USA",Brooklyn
Co-op,3250000,2,2,1300,New York,Manhattan,Centre Street,"The Police Building, 240 Centre St #2b, New York, NY 10013, USA",Douglas Elliman  -111 Fifth Ave,NULL,NULL,NULL,NULL,NULL,Manhattan
Condo,1650000,2,2,1267,Kings County,Brooklyn,Cobble Hill,"473 Hicks St APT 4, Brooklyn, NY 11231, USA",Douglas Elliman  -111 Fifth Ave,473 Hicks St APT 4," Brooklyn"," NY"," 11231"," USA",Brooklyn
Multi-family home,1049000,4,4,2554,New York,Richmond County,Staten Island,"342 Manhattan St, Staten Island, NY 10307, USA","Homes R Us Realty of NY, Inc.",342 Manhattan St," Staten Island"," NY"," 10307"," USA",Staten Island
House,998800,3,4,2400,New York,Richmond County,Staten Island,"1191 Clove Rd, Staten Island, NY 10301, USA",American Homes Group,1191 Clove Rd," Staten Island"," NY"," 10301"," USA",Staten Island
House,998800,3,4,2400,United States,New York,Richmond County,"Waldron Ave, Staten Island, NY 10301, USA",American Homes Group,Waldron Ave," Staten Island"," NY"," 10301"," USA",Staten Island
,3150000,3,2,1952,Kings County,Brooklyn,Park Slope,"184 Lincoln Pl #2, Brooklyn, NY 11217, USA",DEGI - Douglas Elliman Real Estate,184 Lincoln Pl #2," Brooklyn"," NY"," 11217"," USA",Brooklyn
Co-op,849000,1,1,2184,New York County,New York,Manhattan,"263 West End Ave #14c, New York, NY 10023, USA",Brown Harris Stevens - 445 Park Avenue,263 West End Ave #14c," New York"," NY"," 10023"," USA",Manhattan
Co-op,559500,1,1,800,Kings County,Brooklyn,Brighton Beach,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",Piastro Realty LLC,50 Brighton 1st Rd #5h," Brooklyn"," NY"," 11235"," USA",Brooklyn
Co-op,750000,1,1,835,New York County,New York,Manhattan,"333 E 66th St #8e, New York, NY 10065, USA",Douglas Elliman - 575 Madison Ave,333 E 66th St #8e," New York"," NY"," 10065"," USA",Manhattan
